Symbol,Name,Last Sale,Market Cap,Sector,Industry
A,Agilent Technologies Inc. Common Stock,$133.16,38850877716.0,Industrials,Electrical Products
AA,Alcoa Corporation Common Stock ,$39.71,7130315210.0,Industrials,Aluminum
AACI,Armada Acquisition Corp. I Common Stock,$11.405,0.0,Finance,Blank Checks
AACIW,Armada Acquisition Corp. I Warrant,$0.111,0.0,Finance,Blank Checks
AADI,Aadi Bioscience Inc. Common Stock,$1.70,41742149.0,Health Care,Biotechnology: Pharmaceutical Preparations
AAGR,African Agriculture Holdings Inc. Common Stock,$0.348,20137657.0,Consumer Staples,Farming/Seeds/Milling
AAGRW,African Agriculture Holdings Inc. Warrant,$0.012,694402.0,Consumer Staples,Farming/Seeds/Milling
AAL,American Airlines Group Inc. Common Stock,$11.50,7545038956.0,Consumer Discretionary,Air Freight/Delivery Services
AAMC,Altisource Asset Management Corp Com,$2.42,6181919.0,Finance,Real Estate
AAME,Atlantic American Corporation Common Stock,$1.775,36209570.0,Finance,Life Insurance
AAN,Aarons Holdings Company Inc. Common Stock ,$8.16,249904472.0,Consumer Discretionary,Diversified Commercial Services
AAOI,Applied Optoelectronics Inc. Common Stock,$10.44,406198821.0,Technology,Semiconductors
AAON,AAON Inc. Common Stock,$74.13,6094174001.0,Industrials,Industrial Machinery/Components
AAP,Advance Auto Parts Inc.,$64.93,3871275744.0,Consumer Discretionary,Auto & Home Supply Stores
AAPL,Apple Inc. Common Stock,$213.07,3267232851740.0,Technology,Computer Manufacturing
AAT,American Assets Trust Inc. Common Stock,$21.24,1293382146.0,Real Estate,Real Estate Investment Trusts
AB,AllianceBernstein Holding L.P.  Units,$32.93,3792337480.0,Finance,Investment Managers
ABAT,American Battery Technology Company Common Stock,$1.21,70903741.0,Basic Materials,Metal Mining
ABBV,AbbVie Inc. Common Stock,$166.09,293292979746.0,Health Care,Biotechnology: Pharmaceutical Preparations
ABCB,Ameris Bancorp Common Stock,$48.66,3362759272.0,Finance,Major Banks
ABEO,Abeona Therapeutics Inc. Common Stock,$4.50,185337018.0,Health Care,Biotechnology: Pharmaceutical Preparations
ABG,Asbury Automotive Group Inc Common Stock,$234.54,4731196466.0,Consumer Discretionary,Other Specialty Stores
ABIO,ARCA biopharma Inc. Common Stock,$3.34,48453858.0,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ABL,Abacus Life Inc. Class A Common Stock,$10.41,665462540.0,Finance,Investment Managers
ABLLL,Abacus Life Inc. 9.875% Fixed Rate Senior Notes due 2028,$25.50,1630095558.0,Finance,Investment Managers
ABLLW,Abacus Life Inc. Warrant,$0.40,25570126.0,Finance,Investment Managers
ABM,ABM Industries Incorporated Common Stock,$51.26,3217263315.0,Finance,Diversified Commercial Services
ABNB,Airbnb Inc. Class A Common Stock,$149.32,96168622456.0,Finance,Diversified Commercial Services
ABOS,Acumen Pharmaceuticals Inc. Common Stock,$2.70,162215401.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ABR,Arbor Realty Trust Common Stock,$13.68,2578880549.0,Real Estate,Real Estate Investment Trusts
ABR^D,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share,$18.84,,,
ABR^E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,$18.15,,,
ABR^F,Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per share,$19.87,,,
ABSI,Absci Corporation Common Stock,$4.96,560894998.0,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ABT,Abbott Laboratories Common Stock,$104.38,181582971764.0,Health Care,Biotechnology: Pharmaceutical Preparations
